stagione,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
2023-2024,Torino,30,38.0,35,432,121,28.0,11.37,3.18,0.08,0.27,17.1,15,2,2,37.7,36.1,0.09,-2.7,-3.1
2023-2024,Udinese,32,38.0,36,457,134,29.3,12.03,3.53,0.07,0.25,18.8,21,3,4,39.1,36.8,0.08,-3.1,-3.8
2024-2025,Atalanta,32,38.0,76,538,181,33.6,14.16,4.76,0.13,0.39,15.0,5,5,7,65.0,59.5,0.11,11.0,11.5
2024-2025,Bologna,30,38.0,56,505,166,32.9,13.29,4.37,0.1,0.3,17.5,18,6,7,49.3,43.8,0.09,6.7,6.2
2024-2025,Cagliari,28,38.0,38,421,115,27.3,11.08,3.03,0.08,0.3,16.0,10,3,3,42.7,40.3,0.1,-4.7,-5.3
2024-2025,Como,38,38.0,44,519,176,33.9,13.66,4.63,0.08,0.25,17.9,17,0,2,45.4,43.9,0.09,-1.4,0.1
2024-2025,Empoli,34,38.0,31,367,107,29.2,9.66,2.82,0.08,0.27,19.1,21,2,3,32.5,30.1,0.08,-1.5,-1.1
2024-2025,Fiorentina,34,38.0,58,439,166,37.8,11.55,4.37,0.12,0.31,18.0,20,6,8,48.9,42.6,0.1,9.1,9.4
2024-2025,Genoa,37,38.0,35,383,117,30.5,10.08,3.08,0.09,0.3,17.7,16,0,2,37.2,35.5,0.09,-2.2,-0.5
2024-2025,Hellas Verona,32,38.0,31,372,95,25.5,9.79,2.5,0.08,0.31,17.7,12,2,2,33.8,32.3,0.09,-2.8,-3.3
2024-2025,Inter,26,38.0,76,565,179,31.7,14.87,4.71,0.12,0.38,16.3,17,8,9,66.9,60.1,0.11,9.1,7.9
2024-2025,Juventus,29,38.0,56,509,175,34.4,13.39,4.61,0.1,0.29,17.3,11,6,6,51.0,46.3,0.09,5.0,3.7
2024-2025,Lazio,27,38.0,60,528,185,35.0,13.89,4.87,0.1,0.29,17.7,13,6,7,57.2,52.0,0.1,2.8,2.0
2024-2025,Lecce,31,38.0,27,450,119,26.4,11.84,3.13,0.05,0.2,19.3,22,3,4,34.6,31.8,0.07,-7.6,-7.8
2024-2025,Milan,35,38.0,59,555,185,33.3,14.61,4.87,0.1,0.3,17.9,8,4,8,63.7,57.5,0.11,-4.7,-2.5
2024-2025,Monza,36,38.0,27,333,99,29.7,8.76,2.61,0.07,0.24,18.3,17,3,3,29.9,27.7,0.09,-2.9,-3.7
2024-2025,Napoli,27,38.0,56,499,150,30.1,13.13,3.95,0.1,0.35,16.2,11,4,5,52.9,49.1,0.1,3.1,2.9
2024-2025,Parma,32,38.0,43,418,140,33.5,11.0,3.68,0.09,0.26,19.3,22,6,7,43.1,37.6,0.09,-0.1,-0.6
2024-2025,Roma,28,38.0,55,514,162,31.5,13.53,4.26,0.09,0.29,17.9,15,8,8,53.0,46.7,0.09,2.0,0.3
2024-2025,Torino,31,38.0,36,383,123,32.1,10.08,3.24,0.09,0.28,18.6,12,2,4,34.6,31.6,0.08,1.4,2.4
2024-2025,Udinese,31,38.0,41,430,137,31.9,11.32,3.61,0.09,0.28,17.7,15,2,4,38.2,35.0,0.08,2.8,4.0
2024-2025,Venezia,36,38.0,31,381,120,31.5,10.03,3.16,0.07,0.23,18.5,25,4,5,35.8,32.0,0.09,-4.8,-5.0
