Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
Atalanta,32,38.0,62,536,201,37.5,14.11,5.29,0.11,0.28,,5,5
Bologna,28,38.0,39,424,145,34.2,11.16,3.82,0.09,0.26,,1,2
Cagliari,34,38.0,53,431,161,37.4,11.34,4.24,0.11,0.3,,4,6
Chievo,29,38.0,42,405,129,31.9,10.66,3.39,0.09,0.29,,4,5
Crotone,31,38.0,34,408,129,31.6,10.74,3.39,0.07,0.23,,4,5
Empoli,29,38.0,29,364,127,34.9,9.58,3.34,0.07,0.2,,4,5
Fiorentina,30,38.0,62,614,224,36.5,16.16,5.89,0.09,0.25,,6,10
Genoa,33,38.0,36,453,148,32.7,11.92,3.89,0.08,0.23,,2,3
Inter,29,38.0,70,636,212,33.3,16.74,5.58,0.11,0.32,,3,5
Juventus,27,38.0,72,588,211,35.9,15.47,5.55,0.12,0.33,,3,3
Lazio,30,38.0,73,590,212,35.9,15.53,5.58,0.1,0.29,,12,14
Milan,28,38.0,55,556,191,34.4,14.63,5.03,0.09,0.25,,7,12
Napoli,26,38.0,94,672,261,38.8,17.68,6.87,0.13,0.34,,5,6
Palermo,30,38.0,33,385,119,30.9,10.13,3.13,0.08,0.27,,1,1
Pescara,34,38.0,32,449,145,32.3,11.82,3.82,0.07,0.21,,2,6
Roma,22,38.0,88,677,235,34.7,17.82,6.18,0.11,0.32,,12,14
Sampdoria,24,38.0,45,504,165,32.7,13.26,4.34,0.08,0.23,,7,8
Sassuolo,28,38.0,59,445,173,38.9,11.71,4.55,0.11,0.29,,9,10
Torino,29,38.0,70,580,185,31.9,15.26,4.87,0.11,0.35,,5,9
Udinese,29,38.0,47,435,155,35.6,11.45,4.08,0.1,0.29,,2,3
